City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kodiak,US,47.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
2,Ribeira Grande,PT,59.2,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
6,Pleshanovo,RU,45.27,clear sky,52.8333,53.4833,Gostevoy Dom Magiya Uyuta
7,Narsaq,GL,48.42,overcast clouds,60.9167,-46.05,Sleep In Narsaq
9,Vila Franca Do Campo,PT,59.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
10,Mataura,NZ,61.48,light rain,-46.1927,168.8643,Ellie's Villa
14,Port Alfred,ZA,69.84,clear sky,-33.5906,26.891,The Halyards Hotel
17,Ushuaia,AR,46.06,clear sky,-54.8,-68.3,Albatross Hotel
19,Chuy,UY,57.06,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
20,Thompson,CA,50.16,few clouds,55.7435,-97.8558,Burntwood Hotel
21,Sitka,US,51.69,overcast clouds,57.0531,-135.33,Westmark Sitka
23,Bluff,NZ,61.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
24,Coquimbo,CL,49.73,clear sky,-29.9533,-71.3436,Hotel San Juan
25,Geraldton,AU,68.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
28,Esperance,AU,64.24,clear sky,-33.8667,121.9,Hospitality Esperance
29,Iqaluit,CA,26.33,broken clouds,63.7506,-68.5145,Frobisher Inn
31,Mar Del Plata,AR,53.94,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Busselton,AU,63.19,overcast clouds,-33.65,115.3333,Observatory Guest House
33,Cape Town,ZA,71.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
35,Bredasdorp,ZA,70.68,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
36,Muroto,JP,67.17,overcast clouds,33.2833,134.15,Oota Ryokan
39,Jamestown,US,51.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Itirucu,BR,66.87,overcast clouds,-13.5317,-40.1503,Casa Amarela
41,Saldanha,ZA,64.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
42,Petropavlovsk-Kamchatskiy,RU,57.79,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
43,Yar-Sale,RU,34.99,overcast clouds,66.8333,70.8333,Yalemd
44,Shubarkuduk,KZ,53.08,broken clouds,49.1447,56.4872,Sirius
46,Canandaigua,US,56.23,overcast clouds,42.8742,-77.288,The Inn On The Lake
47,Tucuman,AR,46.4,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
48,Solnechnyy,RU,45.1,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
49,Khatanga,RU,35.02,overcast clouds,71.9667,102.5,"""Khatanga"""
53,Nikolskoye,RU,40.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
54,Punta Arenas,CL,44.71,overcast clouds,-53.15,-70.9167,Hotel Hain
56,Iwakuni,JP,65.68,few clouds,34.15,132.1833,Iwakuni Kokusai Kanko Hotel
60,Bethel,US,64.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
61,Along,IN,71.26,overcast clouds,28.1667,94.7667,Hotel West
62,Ponta Do Sol,PT,68.63,broken clouds,32.6667,-17.1,Hotel do Campo
63,Ipanema,BR,51.73,overcast clouds,-30.1391,-51.2244,Motel da Barra
64,Mnogovershinnyy,RU,38.98,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
65,Northam,GB,53.62,few clouds,51.0333,-4.2167,Durrant House Hotel
66,Hermiston,US,73.22,clear sky,45.8404,-119.2895,Oxford Suites Hermiston
67,Clyde River,CA,26.83,overcast clouds,70.4692,-68.5914,Qamaq Hotel
68,Fortuna,US,59.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
69,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Sao Filipe,CV,74.86,overcast clouds,14.8961,-24.4956,Hotel Xaguate
71,Constitucion,CL,52.84,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
72,Sosva,RU,52.07,scattered clouds,59.1766,61.8558,Gostinitsa
73,Sao Joaquim Do Monte,BR,67.69,few clouds,-8.4325,-35.8044,Pousada Aba da Serra
74,Tuktoyaktuk,CA,30.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
75,Tiksi,RU,26.04,overcast clouds,71.6872,128.8694,Arktika
76,Ozinki,RU,45.57,overcast clouds,51.1786,49.6769,Korolevskiy Dvor
77,Leningradskiy,RU,32.65,overcast clouds,69.3833,178.4167,Gostinitsa
78,Wilkie,CA,48.88,overcast clouds,52.4168,-108.7014,Wilkie Motel
79,Asadabad,IR,46.35,clear sky,34.7824,48.1185,کامپیوتر صادق
80,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Fort Nelson,CA,56.79,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
83,Muros,ES,59.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
84,Moyale,KE,62.01,scattered clouds,3.5167,39.0584,La Tahzan Guest House
85,Tuatapere,NZ,58.21,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
86,Sao Raimundo Das Mangabeiras,BR,74.73,overcast clouds,-7.0219,-45.4811,Hotel Tropical
87,Kisangani,CD,69.51,scattered clouds,0.5167,25.2,Grand Ramela Hotel
88,Hobart,AU,52.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
89,Whitefish,US,59.9,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
93,Yellowknife,CA,54.12,broken clouds,62.456,-114.3525,The Explorer Hotel
95,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
97,Quixada,BR,72.45,broken clouds,-4.9714,-39.0153,Hotel Vale das Pedras
98,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
99,New Norfolk,AU,51.93,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
100,Timizart,DZ,64.76,clear sky,36.8,4.2667,yefssah restaurant
101,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
102,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
106,Berlevag,NO,33.75,snow,70.8578,29.0864,Kvitbrakka
107,Albufeira,PT,73.24,few clouds,37.0882,-8.2503,Grande Real Santa Eulalia Resort & Hotel Spa
109,Zhigansk,RU,32.0,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
113,Castro,BR,36.93,clear sky,-24.7911,-50.0119,CHACARA BAILLY
116,Diego De Almagro,CL,59.59,clear sky,-26.3667,-70.05,hotel luna del desierto
119,Cherskiy,RU,49.55,overcast clouds,68.75,161.3,Gostinitsa
120,East London,ZA,68.52,clear sky,-33.0153,27.9116,Tu Casa
121,Libohove,AL,58.8,clear sky,40.0311,20.2631,Bar Cafe Hotel OREKLE
