City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Baghmara,23.795,86.2085,84.27,67,0,10.18,IN,2022-05-13 00:37:44
1,Arraial Do Cabo,-22.9661,-42.0278,73.54,75,100,11.3,BR,2022-05-13 00:37:45
2,Ushuaia,-54.8,-68.3,42.46,93,75,4.61,AR,2022-05-13 00:34:23
3,Victoria,22.2855,114.1577,79.95,96,100,3.0,HK,2022-05-13 00:35:03
4,Bluff,-46.6,168.3333,59.81,74,100,9.26,NZ,2022-05-13 00:37:46
5,Mahebourg,-20.4081,57.7,72.25,77,88,11.83,MU,2022-05-13 00:37:47
6,Kapaa,22.0752,-159.319,82.38,76,40,16.11,US,2022-05-13 00:37:47
7,Port Elizabeth,-33.918,25.5701,58.32,86,0,4.61,ZA,2022-05-13 00:37:48
8,Hithadhoo,-0.6,73.0833,83.21,70,39,13.96,MV,2022-05-13 00:37:49
9,Busselton,-33.65,115.3333,56.59,73,100,15.59,AU,2022-05-13 00:37:49
10,Beringovskiy,63.05,179.3167,36.97,76,15,3.78,RU,2022-05-13 00:37:50
11,Ponta Do Sol,32.6667,-17.1,65.71,81,98,2.46,PT,2022-05-13 00:37:51
12,Rikitea,-23.1203,-134.9692,77.68,69,3,18.05,PF,2022-05-13 00:37:51
13,Kaitangata,-46.2817,169.8464,55.27,59,100,3.91,NZ,2022-05-13 00:37:52
14,Tuktoyaktuk,69.4541,-133.0374,48.2,53,75,10.36,CA,2022-05-13 00:37:52
15,Bethel,41.3712,-73.414,65.23,99,9,4.56,US,2022-05-13 00:37:53
16,Bol,13.4586,14.7147,82.63,71,88,7.16,TD,2022-05-13 00:37:53
17,Punta Arenas,-53.15,-70.9167,41.11,87,40,6.91,CL,2022-05-13 00:37:54
18,Port Alfred,-33.5906,26.891,56.17,94,0,1.99,ZA,2022-05-13 00:37:55
19,Khorramshahr,30.4397,48.1664,78.76,27,0,9.22,IR,2022-05-13 00:37:55
20,Windhoek,-22.5594,17.0832,55.6,41,36,2.3,NA,2022-05-13 00:37:56
21,Codrington,-38.2667,141.9667,61.03,77,100,6.87,AU,2022-05-13 00:37:56
22,Thompson,55.7435,-97.8558,62.76,36,20,2.3,CA,2022-05-13 00:37:57
23,Port Blair,11.6667,92.75,83.71,78,95,10.16,IN,2022-05-13 00:37:58
24,Chuy,-33.6971,-53.4616,52.25,73,5,4.03,UY,2022-05-13 00:37:59
25,Safaga,26.7292,33.9365,79.39,38,0,12.86,EG,2022-05-13 00:37:59
26,Jamestown,42.097,-79.2353,76.64,35,0,0.0,US,2022-05-13 00:38:00
27,Pacific Grove,36.6177,-121.9166,69.03,70,0,15.01,US,2022-05-13 00:38:00
28,Goulburn,-34.75,149.7167,61.92,86,82,3.06,AU,2022-05-13 00:38:01
29,Albany,42.6001,-73.9662,77.41,70,45,5.1,US,2022-05-13 00:35:46
30,Marsa Matruh,31.3525,27.2453,65.16,75,70,5.91,EG,2022-05-13 00:38:02
31,Hobart,-42.8794,147.3294,55.26,95,75,9.22,AU,2022-05-13 00:38:02
32,Koumac,-20.5667,164.2833,79.29,56,97,16.46,NC,2022-05-13 00:38:03
33,Port Hardy,50.6996,-127.4199,50.0,81,75,13.8,CA,2022-05-13 00:38:03
34,Labuhan,-6.8844,112.2051,82.4,80,6,7.78,ID,2022-05-13 00:38:04
35,Kodiak,57.79,-152.4072,45.91,71,100,8.05,US,2022-05-13 00:33:14
36,Clyde River,70.4692,-68.5914,19.63,73,0,12.66,CA,2022-05-13 00:38:05
37,Hilo,19.7297,-155.09,84.27,72,20,10.36,US,2022-05-13 00:35:04
38,Adrar,20.5022,-10.0711,86.25,14,8,9.64,MR,2022-05-13 00:38:06
39,Qianan,44.9932,124.0581,55.4,22,3,4.25,CN,2022-05-13 00:38:06
40,Vaini,-21.2,-175.2,77.16,57,75,16.11,TO,2022-05-13 00:38:07
41,Hermanus,-34.4187,19.2345,57.79,76,93,10.76,ZA,2022-05-13 00:38:08
42,Barrow,71.2906,-156.7887,26.62,74,100,9.22,US,2022-05-13 00:36:07
43,Saint-Philippe,-21.3585,55.7679,71.19,71,3,8.81,RE,2022-05-13 00:39:08
44,Bredasdorp,-34.5322,20.0403,54.61,75,33,7.14,ZA,2022-05-13 00:39:09
45,Kaura Namoda,12.5898,6.5779,89.78,44,14,10.6,NG,2022-05-13 00:39:10
46,San Clemente,33.427,-117.612,85.26,39,0,17.0,US,2022-05-13 00:39:10
47,Sistranda,63.7256,8.834,44.56,79,100,8.95,NO,2022-05-13 00:39:11
48,Ust-Barguzin,53.45,108.9833,42.01,63,14,2.86,RU,2022-05-13 00:39:12
49,Mandiana,10.6333,-8.6833,78.17,73,100,4.16,GN,2022-05-13 00:39:12
50,Eirunepe,-6.6603,-69.8736,73.65,99,28,1.61,BR,2022-05-13 00:39:13
51,Thinadhoo,0.5333,72.9333,83.7,71,66,16.15,MV,2022-05-13 00:39:16
52,Mataura,-46.1927,168.8643,59.49,67,100,3.31,NZ,2022-05-13 00:39:16
53,Plettenberg Bay,-34.0527,23.3716,57.69,67,0,6.24,ZA,2022-05-13 00:39:17
54,Aklavik,68.2191,-135.0107,46.89,66,100,6.13,CA,2022-05-13 00:39:18
55,Itoman,26.1247,127.6694,79.57,96,75,16.11,JP,2022-05-13 00:39:18
56,Matamoros,25.5333,-103.25,93.15,16,8,11.7,MX,2022-05-13 00:39:19
57,Nanortalik,60.1432,-45.2371,32.99,89,100,1.25,GL,2022-05-13 00:39:20
58,Khatanga,71.9667,102.5,16.34,89,7,12.55,RU,2022-05-13 00:39:20
59,Carnarvon,-24.8667,113.6333,64.47,94,75,12.66,AU,2022-05-13 00:39:21
60,Mar Del Plata,-38.0023,-57.5575,56.95,79,40,15.99,AR,2022-05-13 00:39:10
61,Saldanha,-33.0117,17.9442,53.65,86,0,8.39,ZA,2022-05-13 00:39:22
62,Vysokogornyy,50.1167,139.15,52.38,41,8,5.46,RU,2022-05-13 00:39:22
63,Ipixuna,-1.7625,-48.8043,74.07,97,100,2.71,BR,2022-05-13 00:39:23
64,Burnie,-41.0667,145.9167,61.59,70,49,3.91,AU,2022-05-13 00:39:24
65,Hobyo,5.3505,48.5268,81.68,80,60,21.43,SO,2022-05-13 00:39:24
66,Port Lincoln,-34.7333,135.8667,62.44,65,100,13.58,AU,2022-05-13 00:39:25
67,Imbituba,-28.24,-48.6703,66.85,89,97,5.93,BR,2022-05-13 00:39:25
68,Sao Pedro,-22.5486,-47.9139,61.02,85,0,2.89,BR,2022-05-13 00:39:26
69,Sinnamary,5.3833,-52.95,77.99,86,19,12.5,GF,2022-05-13 00:39:26
70,Butaritari,3.0707,172.7902,81.27,74,100,15.73,KI,2022-05-13 00:39:27
71,Sunnyside,46.3237,-120.0087,55.99,69,100,9.22,US,2022-05-13 00:39:28
72,Doda,33.1333,75.5667,72.05,49,0,5.26,IN,2022-05-13 00:39:28
73,Dikson,73.5069,80.5464,25.21,79,100,8.63,RU,2022-05-13 00:39:30
74,Kandrian,-6.2167,149.55,88.83,59,100,5.41,PG,2022-05-13 00:39:30
75,Saint George,37.1041,-113.5841,73.44,13,0,9.22,US,2022-05-13 00:38:41
76,Finnsnes,69.2296,17.9811,35.76,94,100,3.56,NO,2022-05-13 00:39:31
77,Torbay,47.6666,-52.7314,39.38,81,20,17.0,CA,2022-05-13 00:35:39
78,Atuona,-9.8,-139.0333,78.78,79,22,23.6,PF,2022-05-13 00:39:32
79,Souillac,-20.5167,57.5167,74.05,77,95,9.4,MU,2022-05-13 00:39:33
80,Bandarbeyla,9.4942,50.8122,80.92,83,100,14.34,SO,2022-05-13 00:39:33
81,Mbuguni,-3.5667,36.95,63.95,92,100,3.76,TZ,2022-05-13 00:39:34
82,Jiaozuo,35.2397,113.2331,68.22,30,0,5.26,CN,2022-05-13 00:39:35
83,Lakes Entrance,-37.8811,147.981,62.17,83,27,2.68,AU,2022-05-13 00:39:35
84,Cherskiy,68.75,161.3,34.38,100,78,10.74,RU,2022-05-13 00:39:36
85,Rudnogorsk,57.2639,103.7519,57.87,38,22,1.81,RU,2022-05-13 00:39:37
86,Provideniya,64.3833,-173.3,41.36,70,75,4.47,RU,2022-05-13 00:40:37
87,Kalia,23.0396,89.6328,83.17,81,24,12.75,BD,2022-05-13 00:40:38
88,Miramar,25.9873,-80.2323,77.02,74,40,9.22,US,2022-05-13 00:38:05
89,Ranong,9.9658,98.6348,76.93,80,100,5.93,TH,2022-05-13 00:40:38
90,Faya,18.3851,42.4509,68.11,29,1,3.89,SA,2022-05-13 00:40:39
91,Ishigaki,24.3448,124.1572,78.93,100,75,14.97,JP,2022-05-13 00:40:40
92,San Patricio,28.017,-97.5169,83.53,72,0,14.56,US,2022-05-13 00:40:40
93,Puerto Ayora,-0.7393,-90.3518,72.55,94,70,6.89,EC,2022-05-13 00:40:41
94,Havre,49.5833,0.3333,53.37,82,0,11.5,FR,2022-05-13 00:40:42
95,Hamilton,39.1834,-84.5333,79.65,50,0,9.22,US,2022-05-13 00:40:30
96,Veraval,20.9,70.3667,82.2,78,3,13.85,IN,2022-05-13 00:40:11
97,Maceio,-9.6658,-35.7353,76.44,94,75,3.44,BR,2022-05-13 00:40:43
98,Nagato,34.3833,131.2,65.19,99,100,7.54,JP,2022-05-13 00:40:43
99,Yulara,-25.2406,130.9889,72.09,30,4,9.6,AU,2022-05-13 00:40:44
